data,hora,n_placar_visitante,n_placar_casa,c_nome_estadio,c_time_casa,c_time_visitante,n_rodada,d_ano_campeonato
2023-09-30,18:30,0,3,Arena Pantanal,Cuiaba,Fluminense,25,2023
2023-09-30,21:00,2,0,Estádio Beira-Rio,Internacional,Atletico-MG,25,2023
2023-10-01,16:00,1,1,Mineirão,Cruzeiro,America-MG,25,2023
2023-10-01,16:00,1,4,Estádio Urbano Caldeira,Santos,Vasco,25,2023
2023-10-01,16:01,0,2,Couto Pereira,Coritiba,Athletico-PR,25,2023
2023-10-01,18:29,1,2,Nabizão,Bragantino,Palmeiras,25,2023
2023-10-02,20:00,1,1,Estádio Nilton Santos,Botafogo-RJ,Goias,25,2023
2023-10-07,16:01,6,4,Estádio Hailé Pinheiro - Serrinha,Goias,Bahia,26,2023
2023-10-07,18:32,0,0,Estádio São Januário,Vasco,Sao Paulo,26,2023
2023-10-07,20:59,1,1,Neo Química Arena,Corinthians,Flamengo,26,2023
2023-10-08,16:00,2,3,Estádio Beira-Rio,Internacional,Gremio,26,2023
2023-10-08,16:00,2,0,Maracanã,Fluminense,Botafogo-RJ,26,2023
2023-10-08,16:01,2,1,Arena Barueri,Palmeiras,Santos,26,2023
2023-10-08,18:30,1,1,Ligga Arena,Athletico-PR,Bragantino,26,2023
2023-10-08,18:30,2,1,Arena MRV,Atletico-MG,Coritiba,26,2023
2023-10-08,18:30,2,3,Arena Castelão,Fortaleza,America-MG,26,2023
2023-10-14,21:00,0,0,Arena Pantanal,Cuiaba,Cruzeiro,26,2023
2023-10-18,19:00,2,1,Arena do Grêmio,Gremio,Athletico-PR,27,2023
2023-10-18,20:00,3,0,Couto Pereira,Coritiba,Cuiaba,27,2023
2023-10-18,20:00,2,1,Estádio Raimundo Sampaio,America-MG,Botafogo-RJ,27,2023
2023-10-18,21:30,0,2,Estádio Hailé Pinheiro - Serrinha,Goias,Sao Paulo,27,2023
2023-10-18,21:30,0,1,Estádio São Januário,Vasco,Fortaleza,27,2023
2023-10-18,21:31,0,1,Itaipava Arena Fonte Nova,Bahia,Internacional,27,2023
2023-10-19,19:00,2,0,Mineirão,Cruzeiro,Flamengo,27,2023
2023-10-19,19:01,2,0,Allianz Parque,Palmeiras,Atletico-MG,27,2023
2023-10-19,20:00,3,1,Estádio Urbano Caldeira,Santos,Bragantino,27,2023
2023-10-19,21:30,3,3,Maracanã,Fluminense,Corinthians,27,2023
2023-10-21,18:30,1,1,Arena Pantanal,Cuiaba,Goias,28,2023
2023-10-21,18:31,0,3,Morumbi,Sao Paulo,Gremio,28,2023
2023-10-21,18:32,0,2,Itaipava Arena Fonte Nova,Bahia,Fortaleza,28,2023
2023-10-22,16:00,1,0,Arena MRV,Atletico-MG,Cruzeiro,28,2023
2023-10-22,16:00,0,1,Maracanã,Flamengo,Vasco,28,2023
2023-10-22,16:00,1,7,Estádio Beira-Rio,Internacional,Santos,28,2023
2023-10-22,18:30,0,1,Nabizão,Bragantino,Fluminense,28,2023
2023-10-22,18:30,1,1,Neo Química Arena,Corinthians,America-MG,28,2023
2023-10-22,18:31,2,0,Couto Pereira,Coritiba,Palmeiras,28,2023
2023-10-22,21:00,1,1,Estádio Nilton Santos,Botafogo-RJ,Athletico-PR,28,2023
2023-10-25,19:00,2,1,Nabizão,Bragantino,Atletico-MG,29,2023
2023-10-25,19:00,2,3,Ligga Arena,Athletico-PR,America-MG,29,2023
2023-10-25,19:00,3,5,Estádio Municipal General Raulino de Oliveira,Fluminense,Goias,29,2023
2023-10-25,19:59,0,5,Allianz Parque,Palmeiras,Sao Paulo,29,2023
2023-10-25,20:00,0,3,Mineirão,Cruzeiro,Bahia,29,2023
2023-10-25,21:30,2,3,Arena do Grêmio,Gremio,Flamengo,29,2023
2023-10-25,21:30,1,0,Arena Pantanal,Cuiaba,Corinthians,29,2023
2023-10-26,19:00,2,1,Estádio São Januário,Vasco,Internacional,29,2023
2023-10-26,21:30,1,2,Estádio Urbano Caldeira,Santos,Coritiba,29,2023
2023-10-28,18:59,4,3,Estádio Raimundo Sampaio,America-MG,Gremio,30,2023
2023-10-28,19:00,0,1,Allianz Parque,Palmeiras,Bahia,30,2023
2023-10-28,22:00,0,2,Arena MRV,Atletico-MG,Fluminense,30,2023
2023-10-29,16:00,1,1,Ligga Arena,Athletico-PR,Sao Paulo,30,2023
2023-10-29,16:00,1,1,Estádio Hailé Pinheiro - Serrinha,Goias,Vasco,30,2023
2023-10-29,18:30,4,3,Estádio Beira-Rio,Internacional,Coritiba,30,2023
2023-10-29,18:33,1,1,Neo Química Arena,Corinthians,Santos,30,2023
2023-10-29,20:01,1,0,Estádio Nilton Santos,Botafogo-RJ,Cuiaba,30,2023
2023-10-31,19:02,0,1,Itaipava Arena Fonte Nova,Bahia,Fluminense,31,2023
2023-11-01,19:00,1,1,Estádio Beira-Rio,Internacional,America-MG,31,2023
2023-11-01,19:01,0,1,Neo Química Arena,Corinthians,Athletico-PR,31,2023
2023-11-01,20:00,2,1,Arena BRB Mané Garrincha,Flamengo,Santos,31,2023
2023-11-01,20:01,2,1,Couto Pereira,Coritiba,Gremio,31,2023
2023-11-01,21:30,1,3,Arena MRV,Atletico-MG,Fortaleza,31,2023
2023-11-01,21:31,4,3,Estádio Nilton Santos,Botafogo-RJ,Palmeiras,31,2023
2023-11-02,17:00,2,0,Arena Pantanal,Cuiaba,Vasco,31,2023
2023-11-02,17:59,2,0,Estádio Hailé Pinheiro - Serrinha,Goias,Bragantino,31,2023
2023-11-02,20:00,0,1,Morumbi,Sao Paulo,Cruzeiro,31,2023
2023-11-04,19:29,0,1,Arena do Grêmio,Gremio,Bahia,32,2023
2023-11-04,19:30,1,1,Estádio Municipal Parque do Sabiá,America-MG,Atletico-MG,32,2023
2023-11-04,21:30,0,1,Arena Barueri,Palmeiras,Athletico-PR,32,2023
2023-11-05,15:59,2,1,Mineirão,Cruzeiro,Internacional,32,2023
2023-11-05,16:00,2,0,Arena Castelão,Fortaleza,Flamengo,32,2023
2023-11-05,16:01,0,1,Nabizão,Bragantino,Corinthians,32,2023
2023-11-05,18:30,1,0,Couto Pereira,Coritiba,Goias,32,2023
2023-11-06,19:01,0,1,Estádio São Januário,Vasco,Botafogo-RJ,32,2023
2023-11-06,21:01,0,0,Estádio Urbano Caldeira,Santos,Cuiaba,32,2023
2023-11-08,18:59,0,0,Estádio Beira-Rio,Internacional,Fluminense,33,2023
2023-11-08,19:00,3,0,Estádio Raimundo Sampaio,America-MG,Coritiba,33,2023
